company,ceo_name,appointment_date,exit_date,tenure_months,successor_name,successor_origin,exit_reason_ruling
ALEXION PHARMACEUTICALS INC,David L. Hallal,2015-04-01,2016-12-12,20.0,"Ludwig N. Hantson, Ph.D.",,
ALLIANCE DATA SYSTEMS CORP,Melisa A. Miller,2019-06-05,2019-11-18,5.0,Ralph J. Andretta,,
BLOCK H & R INC,Alan Munro Bennett,2010-07-07,2011-05-16,10.0,William C. Cobb,external,
COTY INC,Peter Harf,2018-11-12,2020-09-01,21.0,Sue Y. Nabi,,
CSX CORP,"E. Hunter Harrison, LL.D.",2017-03-06,2017-12-16,9.0,James M. Foote,,
EQT CORP,Robert J. McNally,2018-03-15,2019-07-10,15.0,Toby Z. Rice,boomerang,
F5 NETWORKS INC,Manuel F. Rivelo,2015-04-22,2015-12-31,8.0,John McAdam,boomerang,
F5 NETWORKS INC,John McAdam,2015-12-31,2017-04-01,15.0,Francois Locoh-Donou,boomerang,
FASTENAL CO,"Leland J. Hein, Jr.",2014-12-31,2015-07-20,6.0,Willard D. Oberton,boomerang,
GENERAL ELECTRIC CO,John L. Flannery,2017-07-31,2018-10-01,14.0,"H. Lawrence Culp, Jr.",,
HP INC,Leo Apotheker,2010-08-06,2011-09-26,13.0,Margaret Cushing Whitman,internal,
IRON MOUNTAIN INC,C. Richard Reese,2011-04-12,2013-01-07,20.0,William L. Meaney,,
MATTEL INC,Mary Margaret-Hastings Georgiadis,2017-02-08,2018-04-26,14.0,Ynon Kreiz,,
PERRIGO CO PLC,John T. Hendrickson,2016-04-24,2018-01-15,20.0,Uwe F. Roehrhoff,external,
PERRIGO CO PLC,Uwe F. Rehrhoff,2018-01-15,2018-10-08,8.0,Murray S. Kessler,,
RALPH LAUREN CORP,Stefan Larsson,2015-11-02,2017-05-01,17.0,Patrice J. Louvet,,
TIFFANY & CO,Frederic Patrick Cumenal,2015-03-31,2017-02-05,22.0,Alessandro Bogliolo,,
WEC ENERGY GROUP INC,Allen Lewis Leverett,2016-05-01,2017-10-12,17.0,Gale E. Klappa,boomerang,
XEROX CORP,Jeffrey Jacobson,2016-12-31,2018-05-14,16.0,Giovanni G. Visentin,,
