company,ceo_name,appointment_date,exit_date,tenure_months,successor_name,successor_origin,exit_reason_ruling
AFFILIATED MANAGERS GRP INC,Nathaniel Dalton,2018-05-29,2019-05-29,12.0,Jay C. Horgen,,
ALTRIA GROUP INC,"Howard A. Willard, III, BA (Hons), MBA",2018-05-17,2020-04-14,22.0,"William F. Gifford, Jr.",,
AMERICAN WATER WORKS CO INC,Walter J. Lynch,2020-04-01,2022-02-02,22.0,M. Susan Hardwick,,
BOSTON SCIENTIFIC CORP,William H. Kucheman,2011-10-17,2012-11-01,12.0,Michael F. Mahoney,,
CITRIX SYSTEMS INC,Kirill Tatarinov,2015-10-21,2017-07-07,20.0,David James Henshall,,
EQT CORP,Steven T. Schlotterbeck,2017-01-01,2018-03-15,14.0,Robert J. McNally,external,
FASTENAL CO,Willard D. Oberton,2015-07-20,2016-01-01,5.0,Daniel L. Florness,,
JUNIPER NETWORKS INC,Shaygan Kheradpir,2013-07-23,2014-11-01,15.0,Rami Rahim,,
KEURIG DR PEPPER INC,Ozan Dokmecioglu,2022-07-29,2022-11-10,3.0,Robert J. Gamgort,,
MURPHY OIL CORP,Steven A. Cosse,2012-06-21,2013-08-30,14.0,Roger W. Jenkins,,
TAPESTRY INC,Jide J. Zeitlin,2019-09-03,2020-07-20,10.0,Joanne C. Crevoiserat,,
TEXAS INSTRUMENTS INC,Brian T. Crutcher,2018-06-01,2018-07-17,1.0,Richard K. Templeton,,
TYSON FOODS INC  -CL A,"Samuel Dean Banks, Jr.",2020-10-03,2021-06-02,7.0,Donnie D. King,,
TYSON FOODS INC -CL A,Thomas P. Hayes,2016-12-31,2018-09-30,20.0,Noel White,,
WEC ENERGY GROUP INC,Gale E. Klappa,2017-10-12,2019-02-01,15.0,Joseph Kevin Fletcher,internal,
